Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$38,543.96","+$14,893.42"
Performance,Total_Return,136.51%,285.44%,+148.93%
Performance,Annualized_Return,18.80%,31.00%,+12.20%
Risk,Sharpe_Ratio,N/A,5.37,N/A
Risk,Max_Drawdown,N/A,-7.25%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,2.09x,+109.11%
Comparison,Excess_Return,0.00%,+148.93%,+148.93%
Comparison,Return_Ratio,1.00:1,2.09:1,N/A
